x,y_detected,baseline_y,deflection_y_px,modified_z,confidence
313,19.0,17.516163,1.4838371,1.271774,0.34545454
314,19.0,17.51187,1.4881306,1.2756954,0.4181818
315,17.0,17.507576,-0.507576,-0.5470502,0.6045455
316,17.0,17.503283,-0.50328255,-0.54312885,0.58181816
317,18.0,17.49899,0.5010109,0.374126,0.6045455
318,19.0,17.494694,1.5053062,1.2913826,0.52272725
319,15.0,17.4904,-2.4904003,-2.35803,0.48636365
320,17.0,17.486107,-0.48610687,-0.5274417,0.55
321,17.0,17.481813,-0.48181343,-0.52352035,0.6181818
322,17.0,17.47752,-0.47752,-0.519599,0.6090909
323,18.0,17.473227,0.52677345,0.39765584,0.39545456
324,18.0,17.468933,0.5310669,0.40157717,0.3590909
325,19.0,17.46464,1.5353603,1.318832,0.4181818
326,15.0,17.460346,-2.4603462,-2.3305805,0.48181817
327,15.0,17.456053,-2.4560528,-2.3266592,0.5318182
328,17.0,17.45176,-0.45175934,-0.49607095,0.4
329,17.0,17.447464,-0.447464,-0.49214783,0.4227273
330,17.0,17.44317,-0.44317055,-0.4882265,0.5681818
331,17.0,17.438877,-0.4388771,-0.48430517,0.7090909
332,17.0,17.434584,-0.43458366,-0.48038384,0.6045455
333,17.0,17.43029,-0.43029022,-0.47646248,0.37272727
334,17.0,17.425997,-0.42599678,-0.47254112,0.3909091
335,18.0,17.421703,0.57829666,0.4447137,0.48181817
336,17.0,17.41741,-0.4174099,-0.46469843,0.5
337,17.0,17.413116,-0.41311646,-0.4607771,0.47727272
338,17.0,17.408823,-0.408823,-0.45685577,0.42727274
339,16.0,17.40453,-1.4045296,-1.3662679,0.4318182
340,17.0,17.400234,-0.40023422,-0.44901133,0.5
341,17.0,17.39594,-0.39594078,-0.44508997,0.5272727
342,16.0,17.391647,-1.3916473,-1.3545021,0.48181817
343,15.0,17.387354,-2.387354,-2.2639143,0.45909092
344,16.0,17.38306,-1.3830605,-1.3466594,0.5
345,17.0,17.378767,-0.378767,-0.4294046,0.6363636
346,17.0,17.374474,-0.37447357,-0.42548326,0.5954546
347,19.0,17.37018,1.6298199,1.4051051,0.52272725
348,19.0,17.365887,1.6341133,1.4090264,0.4909091
349,15.0,17.361593,-2.3615932,-2.240386,0.38636363
350,19.0,17.3573,1.6427002,1.416869,0.7
351,19.0,17.353004,1.6469955,1.4207922,0.8636364
352,17.0,17.348711,-0.348711,-0.40195346,0.8181818
353,17.0,17.344418,-0.34441757,-0.3980321,0.84090906
354,17.0,17.340124,-0.34012413,-0.39411077,0.76363635
355,17.0,17.33583,-0.3358307,-0.39018944,0.70454544
356,17.0,17.331537,-0.33153725,-0.38626805,0.4409091
357,19.0,17.327244,1.6727562,1.4443203,0.46818182
358,19.0,17.32295,1.6770496,1.4482415,0.5181818
359,19.0,17.318657,1.6813431,1.4521629,0.53636366
360,17.0,17.314363,-0.31436348,-0.3705827,0.6090909
361,17.0,17.31007,-0.31007004,-0.36666137,0.7909091
362,17.0,17.305775,-0.3057747,-0.36273825,0.8181818
363,17.0,17.301481,-0.30148125,-0.35881692,0.8363636
364,17.0,17.297188,-0.2971878,-0.3548956,0.5590909
365,17.0,17.292894,-0.29289436,-0.35097423,0.43636364
366,17.0,17.2886,-0.28860092,-0.3470529,0.42727274
367,17.0,17.284307,-0.28430748,-0.34313154,0.47727272
368,17.0,17.280014,-0.28001404,-0.33921018,0.77272725
369,17.0,17.27572,-0.2757206,-0.33528885,0.8954545
370,17.0,17.271427,-0.27142715,-0.33136752,0.67727274
371,17.0,17.267134,-0.2671337,-0.32744616,0.5090909
372,17.0,17.26284,-0.26284027,-0.32352483,0.7090909
373,17.0,17.258545,-0.25854492,-0.31960174,0.7409091
374,17.0,17.254251,-0.25425148,-0.31568038,0.55454546
375,17.0,17.249958,-0.24995804,-0.31175905,0.35454544
376,17.0,17.245665,-0.2456646,-0.3078377,0.4
377,17.0,17.241371,-0.24137115,-0.30391636,0.69545454
378,17.0,17.237078,-0.23707771,-0.29999503,0.65909094
379,18.0,17.232784,0.7672157,0.6172598,0.5272727
380,17.0,17.22849,-0.22849083,-0.29215232,0.50454545
381,18.0,17.224197,0.7758026,0.6251025,0.7090909
382,17.0,17.219904,-0.21990395,-0.28430963,0.65909094
383,17.0,17.215609,-0.2156086,-0.28038657,0.6909091
384,19.0,17.211315,1.7886848,1.5502017,0.49545455
385,19.0,17.207022,1.7929783,1.554123,0.5272727
386,19.0,17.202728,1.7972717,1.5580444,0.47727272
387,17.0,17.198435,-0.19843483,-0.26470116,0.6818182
388,17.0,17.194141,-0.19414139,-0.26077983,0.69545454
389,17.0,17.189848,-0.18984795,-0.2568585,0.7
390,17.0,17.185555,-0.1855545,-0.25293714,0.6909091
391,17.0,17.181261,-0.18126106,-0.24901581,0.6909091
392,17.0,17.176968,-0.17696762,-0.24509446,0.78636366
393,17.0,17.172674,-0.17267418,-0.2411731,0.91818184
394,17.0,17.168379,-0.16837883,-0.23725003,0.74545455
395,17.0,17.164085,-0.16408539,-0.23332867,0.2590909
396,18.0,17.159792,0.84020805,0.6839261,0.22272727
397,18.0,17.155499,0.8445015,0.6878475,0.30454546
398,15.0,17.151205,-2.151205,-2.0482316,0.3590909
399,15.0,17.146912,-2.1469116,-2.0443103,0.51363635
400,15.0,17.142618,-2.1426182,-2.0403888,0.39545456
401,17.0,17.138325,-0.13832474,-0.20980062,0.31363636
402,17.0,17.134031,-0.1340313,-0.20587927,0.3090909
403,17.0,17.129738,-0.12973785,-0.20195794,0.35
404,17.0,17.125443,-0.1254425,-0.19803484,0.4
405,17.0,17.12115,-0.12114906,-0.19411351,0.46818182
406,17.0,17.116856,-0.11685562,-0.19019215,0.45
407,16.0,17.112562,-1.1125622,-1.0996044,0.38181818
408,18.0,17.108269,0.89173126,0.73098403,0.38636363
409,17.0,17.103975,-0.103975296,-0.17842811,0.4318182
410,17.0,17.099682,-0.099681854,-0.17450678,0.54545456
411,17.0,17.095388,-0.09538841,-0.17058544,0.5409091
